UniqueCount	AmbigCount
177	0
2860	1
340	0
207	0
183	0
312	6
206	0
750	3
1447	2
1	0
1053	2
121	0
151	0
1121	0
759	0
0	0
307	0
0	57
593	65
372	1
1146	3
0	0
5806	47
438	1
7	0
0	0
443	1
0	0
2	0
953	1
28	0
2	42
1	0
0	2825
761	1
53	0
919	1
383	1
1	0
47	0
1289	2
0	0
594	1
6	1
233	0
150	2
187	0
1001	6
1	0
2	0
200	2
1149	0
364	1
135	0
636	1
4	0
81	0
0	4
228	1
531	0
160	0
1655	5
264	0
1423	1
125	0
2	0
32	0
63	0
536	2
2051	56
8	2
255	0
2838	2
2079	1
8	3
595	0
1	0
1629	3
639	2
712	9268
4494	2
921	7
24	0
1	0
1608	2
1495	1
463	0
0	0
0	3
2618	47
189	0
247	0
1509	0
744	2
319	0
183	0
0	21
1625	11667
248	1
391	1
979	0
46	0
413	0
13995	80
704	0
435	0
0	3
594	2
288	0
107	0
1166	0
1019	57
28	0
7	8
126	0
943	0
1119	0
242	0
40	0
299	0
790	0
2799	8
0	0
435	1
3450	48
2	0
1153	2
829	2
167	0
723	0
376	1
298	0
0	0
197	1
3832	251
824	0
186	0
738	0
296	1
1182	2
722	1
197	1
1404	3
535	1
993	1
403	0
5	3
442	34
1399	3
314	0
516	1
379	0
95	0
2926	1
5001	2546
311	3
118	3
509	0
366	0
451	0
1	0
0	0
2	0
612	0
7661	6
695	0
323	2
192	0
435	1
416	0
4	60
1600	0
233	0
5	0
161	0
3113	3
4290	10
520	0
467	0
874	4
1157	0
451	2
180	0
0	27
505	0
420	0
667	2
650	1
222	0
213	0
4112	7
264	2
945	20
353	1
790	0
360	0
2104	1
474	3
1223	2
209	0
160	0
230	0
829	0
178	0
85	0
1220	3
405	1
431	1
954	1
0	2373
1437	2
113	0
2015	2
387	1
48	2
220	2
206	2
410	0
272	0
0	1
507	1
15	0
4069	3
0	0
0	0
1174	0
857	0
433	1
423	0
635	1
188	0
253	1
239	0
1071	1
851	4
89	0
1069	7
249	0
1	0
596	0
207	0
81	0
14	61
158	0
55	0
599	3
13850	26
572	2
276	0
1204	3
