UniqueCount	AmbigCount
114	0
1588	3
244	1
65	0
125	0
137	3
38	0
205	0
661	3
0	0
215	0
15	0
118	2
875	4
317	2
0	0
512	2
0	17
934	164
160	0
2046	8
0	0
6823	140
202	0
12	0
0	0
144	2
1	0
0	0
415	0
38	0
2	40
0	1
2	2882
413	1
13	0
7818	24
356	2
0	1
26	0
1009	3
0	1
95	1
3	0
172	3
42	0
58	0
2946	11
0	0
0	0
125	2
201	1
172	0
98	0
224	1
7	0
73	0
0	0
101	0
279	0
149	1
896	3
226	0
1229	3
39	0
0	0
20	0
35	1
317	0
319	7
3	1
224	4
2156	4
158	0
1	0
487	1
2	0
2182	8
447	1
76	1187
2238	8
356	2
44	4
1	0
2283	12
3015	13
405	0
1	0
0	8
3628	42
145	0
187	0
2449	4
567	1
160	0
177	0
3	38
2236	14511
117	1
422	1
1058	3
35	0
193	0
16241	141
346	1
139	1
0	0
222	4
184	2
73	0
507	1
1742	91
38	0
7	7
131	1
1446	5
860	4
155	1
34	0
137	0
315	1
3968	15
8	0
272	0
4483	92
0	0
876	1
412	1
136	1
487	1
508	2
218	0
0	0
174	2
2274	203
1089	6
195	0
448	6
64	1
1674	13
698	2
273	0
2287	8
254	1
344	3
226	1
4	0
1773	128
226	0
195	0
361	1
199	0
33	0
2573	13
1669	1062
175	3
32	2
77	1
193	2
374	2
0	0
3	0
100	0
145	0
9407	30
378	3
222	1
197	5
149	0
205	0
3	29
1355	9
47	1
8	0
79	2
2262	8
3248	18
359	1
303	0
652	6
251	1
406	0
139	4
0	28
358	1
657	5
379	2
129	0
109	1
151	2
2215	11
175	0
854	16
373	1
425	1
193	0
710	3
348	0
272	1
107	2
163	0
130	1
21	0
109	0
56	0
561	2
330	3
169	0
322	2
0	2404
494	1
73	0
633	0
172	0
29	0
156	3
75	1
376	1
104	0
0	0
313	0
18	0
4238	9
1	0
0	0
780	1
7086	26
304	2
122	0
211	0
129	0
276	1
108	1
846	3
662	4
85	0
296	1
190	1
0	0
358	0
49	0
41	0
18	95
89	1
54	0
503	4
17128	65
361	2
259	1
293	1
0	0
6426	37
129	0
895	4
593	3
1026	6
733	9
632	2
573	5
0	0
0	0
97	0
1011	2
555	2
16	0
3	0
184	0
151	1
130	0
155	1
92	0
0	125
186	0
448	1
87	0
592	4
2123	5
2	0
349	2
359	3
669	6
125	1
189	254
2	5
151	1
196	0
754	2
296	1
4	0
82	0
265	2
1671	6
163	0
41	0
249	0
4	0
217	0
845	4
12184	42
1	0
920	2
8	0
1936	12
491	1
551	2
0	0
468	350
1487	5
0	0
700	55
115	0
94	1
1	0
0	0
70	0
76	0
142	1
313	1
2	0
150	0
51	0
102	0
291	0
325	1
15	0
1	1
52	0
1	1
171	1
609	0
168	0
719	0
71	0
141	0
151	1
231	1
223	1
682	2
208	0
178	0
264	1
1021	5
626	3
217	1
108	0
517	2
1405	3
122	0
15	0
130	0
201	1
0	0
2	0
1003	3
13	1
36	0
0	0
69	0
299	3
147	0
1694	5
2034	7
321	1
10830	1275
114	2
0	0
139	1
92	0
249	1
1	0
119	1
199	0
2048	9
280	0
54	0
32	0
5	0
142	0
81	0
441	0
97	2
3853	13
537	1
1030	3
1773	110
437	2
0	0
168	1
44	0
830	3
6	3
1	0
198	1
0	0
354	2
51	0
115	0
105	1
3	0
893	2
138	1
127	1
286	0
196	1
56	0
366	2
0	0
2347	10
567	3
444	1
0	0
65	1
178	0
1225	6
6	0
91	0
502	5
442	2
17	1
798	4
1786	6933
1	0
547	1
5	2
218	0
564	4
282	0
347	1
0	0
2768	11
132	2
4890	68
0	0
146	1
535	3
324	1
1902	5
294	0
185	0
0	1
216	0
64	0
0	0
0	0
195	1
476	5
424	5
146	0
2418	10
7	0
207	0
137	0
0	0
0	0
273	0
1	0
2191	9
289	0
538	0
56	0
3220	11
102	2
263	0
0	0
96	1
2	0
179	0
249	1
188	1
0	0
1730	9
172	2
619	1
74	0
0	0
1342	4
135	2
150	0
55	3
0	0
10	15
179	0
252	2
617	0
0	12
314	0
0	0
3	0
248	1
342	2
0	6
1195	12
416	5
3	0
203	3
5	7
987	4
450	3
6396	21
465	3
116	0
291	1
51	0
370	0
36	0
464	0
81	0
1903	5
561	2
92	0
39	0
1	0
18	5
50	32
163	2
87	1
2476	10
149	0
40242	446
0	0
319	3
704	7
409	3
244	0
290	1
220	0
2	0
225	1
93	0
1063	3
657	2
946	5
258	1
71	0
617	3
202	0
0	0
313	0
2522	17
274	0
330	3
0	0
239	0
0	0
1	0
250	0
172	0
188	0
195	0
45	1
0	0
10	0
182	1
0	0
79	1
887	4
3916	16
316	2
109	1
170	0
2	4
3	0
15	0
1445	3
2	0
88	0
81	0
355	4
0	0
29740	126
305	0
4	0
149	1
137	1
1508	1239
157	0
102	0
78	0
56	0
44263	51
108	2
3	0
114	0
998	5
3723	11
4595	25
802	3
415	0
1	0
163	1
272	0
71	0
484	1
506	1
164	0
277	1
1258	4
150	2
648	1
190	0
264	286
495	2
0	0
910	2
5	0
1181	5
3	0
0	2
90	0
2	0
3489	12
292	3
354	0
500	2
228	0
476	1
82	0
340	1
583	1
3	0
118	1
140	0
605	2
1	0
234	0
618	2
90	0
536	0
1326	5
1435	3
286	4
617	3
113	0
2065	6
0	31
622	2
116	0
400	3
36	0
689	1
85	0
205	1
6068	31
115	0
3	0
475	0
79	0
41	0
0	0
8	4
14	0
323	0
518	3
84	0
553	5
144	1
1	80
494	4
141	3
238	2
444	1
659	2
4065	532
544	1
435	5
88	1
44	0
0	8
947	5
1221	3
271	1
5	0
164	0
0	1
621	2
358	2
286	1
3	1
1171	5
515	2
258	0
333	1
245	0
1682	7
161	0
0	0
127	3
91	0
5	4
176	0
143	0
0	0
180	1
706	4
139	0
915	4
764	2
1829	11537
123	0
18	0
2483	11
50	0
228	4
98	1
54	1
240	2
5553	24
27	0
39	0
0	1
0	1
1056	4
0	0
422	2
63	0
2003	15
177	165
60	0
0	0
2	0
96	0
1587	8
26	1
4	0
2882	174
424	0
664	2
122	1
972	7
3881	1343
138	0
300	0
721	2
266	1
305	1
476	1
845	4
108	0
47	0
2033	1060
165	1
538	3
137	2
411	1
204	0
55	1
395	2
0	0
237	0
4467	26
543	4
0	0
159	1
258	0
294	2
692	5
94	1
566	1
97	0
169	0
713	1
3718	285
420	0
171	0
230	0
1143	4
3	0
40	1
99	0
52	0
0	0
3	186
0	0
131	1
13394	88
656	5
372	1
2135	2
1	0
5873	49
205	0
3573	39
406	3
998	4
141	0
45	0
180	1
1	1
144	0
233	994
72	1
98	0
1095	2
172	1
141	1
387	1
29	0
562	4
14	1
59	0
1100	3
213	2
509	4
289	1
173	0
6042	15
387	1
716	3
0	0
20	0
7	1
284	3
109	0
280	0
179	0
1	616
0	0
415	2
108	3
327	0
0	0
406	2
0	0
157	0
210	1
151	0
129	0
163	0
604	1
1540	6
138	2
139	1
3285	12
68	0
410	4
0	0
1588	6
47	0
5	0
121	0
0	2
158	0
0	0
429	1
0	0
15	0
1223	7
50	24
480	1
110	21
588	1
123	1
4799	45
341	4
2	0
146	0
163	0
11	2
276	1
1316	3
107	1
169	0
66	1
103	0
78	0
541	2
2814	2
80	0
115	0
1352	6
54	0
4318	5296
92	47
1226	5
1343	2
2229	9
1438	3
158	0
320	2
0	0
0	5
268	0
13	0
7	0
1360	5
0	0
355	2
2	2
39	0
6034	21
44	0
689	2
247	0
597	4
237	1
940	5
0	1
1397	5
183	0
2078	7
197	2
118	1
39	0
0	0
94	0
439	1
1098	4
1672	1
127	0
204	0
154	0
186	4
243	0
296	1
22	0
577	5
446	4
358	3
458	1
47	0
65	0
207	0
269	1
377	3
0	1
107	0
153	0
361	0
1221	10
34396	13951
0	0
181	0
122	0
6860	28
125	0
120	0
7491	36
0	0
508	1
4	0
453	1
251	3
150	0
178	2
98	0
243	2
643	3
1513	2
387	2
2009	4
0	0
467	1
408	6
1	0
0	6
31	0
3	5
29	0
105	1
342	3
170	2
145	0
0	0
135	0
50	0
447	3
112	0
225	0
173	2
226	1
2696	6
360	2
231	0
90	0
624	14
102	0
4	0
240	0
82	0
62	0
409	1
198	2
45	1
76	0
421	6
0	0
20539	87
46	0
7	0
18	0
1	0
151	0
36	0
325	0
42	0
280	4
571	2
123	0
153	0
93	1
1475	3
338	0
495	4
47	1
287	4
251	1
257	2
0	95
105	0
216	1
3750	5
4433	8
214	2
117	0
320	3
1394	5
90	0
109	0
1117	4
268	3
203	0
383	0
689	1
229	3
399	0
219	0
1	3260
173	0
2265	13
2	1
3250	12
9	0
575	2
0	0
2947	16
146	0
69	2
1699	5
110	1
0	0
114	0
608	3
17	0
1380	5
460	1
130	1
361	3
334	0
135	1
2088	14
682	2
904	4
282	1
9973	36
11	1
44	1
96	0
430	3
0	0
249	0
256	0
119	0
0	0
1	1
327	1
0	0
260	1
166	1
201	0
7	0
692	4
56	0
140	0
359	1
508	2
333	1
12	0
1045	4
0	0
38	0
958	4
593	2
125	0
23	0
258	0
147	1
78	0
168	1
615	3
1	0
105	1
206	0
249	2
255	4
139	0
366	0
1297	5
237	1
227	2
0	0
19034	1056
49	0
4221	11
257	3
238	69
11	87
1913	11
82	0
550	2
63	0
1374	8
0	0
393	0
39	9
417	0
149	1
983	2
531	2
29	0
88	1
147	0
96	0
128	2
0	0
127	0
333	1
284	4
18	0
89	7
6	78
10	0
122	0
0	1
110	0
3254	6
14	0
44	0
323	2
155	0
8	0
100	0
0	1
1	2993
248	2
366	1
813	6
368	1
39	7
267	2
0	0
1	0
199	2
434	0
349	2
112	3
1	3
82	1
1468	5
138	1
105	1
240	0
1	0
122	0
190	0
63	0
245	0
121	1
182	1
123	0
557	1
229	1
165	0
5640	20
11	0
7	0
288	3
442	1
364	2
534	1
99	0
51	0
28	0
157	0
188	1
0	0
170	0
172	0
105	0
683	3
481	0
7	0
4	0
25	0
1	0
0	0
873	7
73	1
281	96
991	8
33	0
956	3
246	3
1	0
11	0
294	1
4	0
525	0
258	1
37	0
289	1
700	1
42	0
4	4
123	0
308	1
2	2
193	827
672	1
137	0
214	1
41289	412
359	87
388	4
309	0
127	0
138	1
231	0
473	3
321	2
271	1
40	1264
337	2
107	0
157	1
204	1
305	1
181	0
145	1
656	4
8969	117708
614	5
211	1
207	0
1	0
243	0
275	1
258	0
185	1
371	1
125	0
129	0
126	0
206	0
144	0
189	1
482	1
89	0
236	4
100	0
1	0
377	0
788	5
112	0
24	10
236	0
3	4
148	0
68	0
2275	9
81	0
165	0
698	10
8	1
295	1
23	1
110	1
208	1
2281	5172
12	0
143	0
4	0
39	0
609	1
185	0
97	3
370	0
2	0
224	2
9061	39
34	3124
201	0
143	0
101	0
550	2
2	0
310	0
30	0
4	0
1	1
161	2
644	1
250	3
770	4
414	1
47	0
182	0
0	0
302	2
310	0
10964	48
83	0
748	1
202	0
0	80
291	3
44	3
3	0
315	3
618	3
22807	96
205	1
169	1
239	0
151	2
793	3
272	0
559	2
163	0
149	1
12	1
21	3
2618	3
1	0
64	0
780	7
1006	5
299	1
119	0
217	2
212	0
88	0
10	1
2457	10
115	1
182	0
0	0
201	1
493	3
87	0
14	0
72	0
1188	2
108	0
2	0
457	0
22	0
336	0
497	4
6	0
1267	7
12	33
1254	1
137	0
398	2
265	1
5	0
10	21
290	1
699	2
345	2
405	0
491	2
84	0
1141	4
177	78
1	0
1191	2
166	0
1211	6
2017	120
741	3
20	0
192	677
2	0
260	1
3	0
1609	6
112	1
414	2
40	0
176	2
0	0
168	0
579	1
72	1
362	0
12023	25
12	0
527	1
360	1
207	2
0	0
0	3150
674	4
410	1
41	0
2	0
654	2
48	0
330	1
0	0
3176	6
475	5
696	3
188	2
710	2
141	1
2227	5
518	3
627	1
768	2
310	0
158	0
296	1
47	4
0	0
64	0
141	1
124	1
95	1
480	1
651	1
2	1
983	2
188	1
56	0
515	0
504	2
134	1
135	0
369	3
182	0
175	1
456	2
56	0
239	1
304	5
86	1
43	0
316	0
458	2
198	1
229	0
219	0
1158	65
0	0
7	0
25	1
716	2
292	0
261	0
9	0
154	0
0	0
321	2
1112	4
69	1
0	0
874	1
821	3
870	3
123	0
114	0
215	0
20	0
63	0
76	0
4	0
1500	4
219	3
624	3
1617	487
0	0
8010	19
746	0
2475	7
3106	56
169	1
90	0
322	5
278	2
558	1
0	0
259	0
1576	9
0	0
3127	14
148	0
2382	8
396	2
0	0
562	1
1	1
0	0
204	2
8	0
719	2
262	1
399	0
0	0
61	1
723	0
2	0
800	2
285	0
1	0
1	0
93	1
212	1
79	0
44	0
1375	3
62	211
0	0
1024	3
217	0
0	3
176	0
205	0
22	0
199	0
8386	12
251	1
510	4
681	4
1	1
247	0
386	0
139	2
150	0
5912	18
606	1
15983	52
0	0
501	2
196	0
1	0
384	1
2293	7
161	1
2551	104
203	2
207	0
123	0
0	9
283	0
25	0
1	0
110	1
82	0
128	0
1392	1
114	1
0	0
275	1
104	0
1339	6
534	3
71	1
1526	3
5488	12
670	2
594	3
89	0
14	0
257	0
595	2
32	0
15	0
95	0
205	1
165	0
201	2
110	0
502	0
486	2
981	0
79	1
72	0
107	1
547	1
0	2919
82	0
10	0
641	4
3	0
707	1
80	1
1	50
515	3
739	5
368	1
1150	3
7	0
0	0
0	0
578	6
367	3
139	0
103	0
168	0
490	0
496	1
68	0
0	1
0	0
132	1
16	0
264	2
5945	49
4	0
351	2
5	12
0	0
631	3
1	0
1134	4
11588	35
88	0
0	0
349	1
171	0
570	7
1	0
1059	7
4153	7
31	0
1008	2
304	2
5610	25
128	1
146	0
104	1
220	1
10	0
9690	575
126	0
1426	5
1684	416
305	2
4784	12
630	6
1140	4
15	0
1314	7
165	1
36	0
171	0
423	1
1	0
29	0
133	2
146	1
351	1
1638	4
383	0
157	2
1084	5
333	0
430	1
972	3
2976	11
238	1
140	1
240	0
2	0
239	1
4144	14
220	0
143	2
224	2
136	0
0	0
170	0
66	0
1010	0
290	0
245	1
1599	5
1775	7
4	76
517	1
425	3
6	3
72	0
329	2
1789	19
149	1
0	0
75	1
143	0
4	0
349	2
184	0
0	0
2	1
68	1
104	0
30	0
1678	10
129	0
173	0
151	0
49	0
743	3
382	1
220	1
126	0
128	1
268	0
178	0
42	0
5	4
325	1
0	0
6	0
82	1
235	0
893	4
175	1
0	71
668	3
137	0
374	1
179	1
480	2
433	1
244	2
1135	3
154	1
0	0
169	2
189	1
9472	163
624	2
674	4
1	2
203	2
229	0
671	1
295	3
140	1
2169	15
842	1
5889	23
0	15
99	428
143	0
815	3
632	1
235	0
0	0
140	0
542	1
2	0
19	0
0	0
0	0
1168	2
713	4
821	3
335	0
1099	1
0	0
767	2
58	1
194	1
25	0
0	0
67	1
598	2
312	1
588	1
210	0
320	2
766	2
4925	1343
1312	4
211	2
227	0
230	1
291	0
268	2
1279	4
207	0
148	1
375	0
43	2
353	1
812	6
102	0
112	0
1203	7
118	0
2	1
95	0
186	2
204	3
0	1
220	0
512	3
114	1
141	3
1855	7
3	0
2	0
6	0
2318	15
