UniqueCount	AmbigCount
449	0
459	1
7682	5
2611	10369
891	1
153	0
182	0
218	0
256	1
3656	7
408	0
351	0
243	1
1787	5
374	2
0	0
494	0
189	0
941	3
228	0
2659	4
326	0
690	2
603	1
177	1
84	0
1031	1
296	1
334	0
251	0
124	0
97	0
2822	3
518	1
88	0
41402	61
363	0
838	1
749	0
1751	3
620	0
1349	1
182	0
155	0
214	0
1331	1
447	1
2183	1
61	0
112	1
419	0
165	0
256	1
2375	2
69	0
22	0
20	12
2	0
0	0
656	2
410	0
834	1
232	0
0	1813
0	0
850	0
2581	3
292	0
160	0
11	2
46	1
558	1
256	0
50	0
10	0
13	51
24	0
622	2
53	8
0	0
665	0
19	329
623	1
2312	3
2244	22
505	0
296	1
424	0
1324	0
283	1
458	0
171	1
801	0
36	0
337	1
392	1
1332	1
1419	4
150	0
143	0
605	1
97	0
1415	3
335	0
1163	1
103	0
313	0
7633	397
358	0
138	0
3274	1
177	0
833	0
807	0
300	0
368	0
699	1
370	0
544	0
1134	2
785	0
1450	0
803	1
416	0
22	0
3401	5
278	0
2024	2
43	3
904	1
1140	1
371	0
646	0
774	1
1457	2
418	1
1201	0
83	0
287	0
504	1
202	0
960	0
309	0
456	0
367	1
259	0
3174	10089
86	0
222	1
3865	4
269	0
576	0
212	0
281	0
463	1
225	0
957	1
179	0
2025	414
260	1
207	0
411	0
1261	2
6065	9
983	2
97	0
91	0
283	0
5375	11
268	1
352	0
380	0
341	0
779	2
521	0
238	0
156	0
453	2
594	0
528	0
588	0
413	1
393	0
358	0
2247	232
4028	41
7064	4
35	0
362	0
1183	3
561	0
821	1
5	0
4	1
0	60
405	1
178	0
1042	5
385	0
4005	4
250	1
332	1
1358	2
462	2
1613	11553
88	0
1566	2
1018	0
2142	1
306	0
817	1
2184	5
1	0
871	1
379	1
511	1
469	1
63	0
397	1
90	0
3389	189
840	2
34	0
682	2
857	0
1026	1
399	0
1038	2
413	0
594	1
846	2
385	2
423	2
157	0
347	0
326	1
957	1
1015	0
146	0
40	0
277	0
713	1
1178	1
676	1
441	0
3	0
347	0
11370	13
2780	2
1273	2
443	0
2960	3
928	0
1152	4
93	0
1136	0
501	0
810	1
210	109
91	0
8377	183
300	199
312	0
430	0
741	3
184	0
213	0
736	1
445	0
434	1
619	1
503	1
3041	5
139	0
276	0
1326	1
585	1
939	0
1353	3
486	0
2956	3
78	0
2	107231
215	0
224	0
3967	6
521	0
353	1
419	0
2348	1
4028	9
73	0
303	0
580	1
190	0
20	0
563	0
328	0
98	0
213	0
206	0
829	1
370	2
119	0
677	0
2998	3
565	0
937	2
191	0
63	0
2189	1
260	0
1449	0
73	1
277	1
930	0
535	1
235	0
51	0
909	1
1242	0
576	0
399	1
9284	10
421	0
562	0
352	0
568	0
112	0
127	0
523	1
795	1
808	0
967	1
912	0
259	0
226	0
1867	1
526	0
4	0
3248	9019
579	0
412	1
26	0
286	0
6	0
823	3
154	1
6932	86
5016	9
430	0
148	0
58	0
232	0
9512	13
52	1
618	0
1249	7
580	3
185	0
757	2
643	0
301	0
785	1
627	0
1646	3
164	0
189	0
468	0
91	0
1169	1
310	1
367	1
110	0
1135	164
0	33
402	33
3045	8
1551	2
181	0
319	0
427	0
158	0
479	3
129	0
160	0
316	1
1782	4
362	0
403	0
403	0
1127	0
159	0
1924	4
297	0
610	0
424	1
365	1
726	3
392	1
755	0
1231	4
2981	3
10	0
295	2
324	0
259	0
166	0
300	0
885	1
206	0
78	1
203	0
383	2
384	1
222	0
1389	3
196	0
457	1
685	2
259	0
284	0
182	0
224	0
221	1
657	0
201	1
339	0
621	2
182	0
858	0
292	0
348	0
321	0
2076	1
86	0
12	0
3158	5
1267	1
323	1
327	1
811	1
1084	0
388	0
10	0
216	0
3	0
140	20
405	0
12	18
16	10
536	2273
517	0
191	0
228	1
226	0
237	0
1865	4
329	2
1408	2
431	0
199	0
1305	2
1911	2
6	24383
0	2486
257	1
4121	3
120	0
982	2
362	1
4090	6
749	0
367	1
207	0
640	0
795	1
185	0
25	0
455	1
459	1
1980	46
94	43
7385	4
261	0
1357	3
175	0
6	0
531	1
1445	1
310	0
542	0
861	0
296	1
139	0
1329	3
38	5
672	1
400	0
384	0
33	0
230	12
593	374
0	32
0	0
1	0
21	0
1096	4
329	0
664	0
3339	8
194	2
715	1
1555	1
6	0
580	0
37327	58
179	0
117	0
605	0
1397	1
1	0
200	0
9854	14
87	0
44	0
393	1
244	2
1044	77
552	0
202	2
404	1
726	1
5773	55
207	0
661	1
1280	3
698	0
641	2
901	0
69	39
516	1
196	0
538	2
6	0
411	1
478	1
672	2
1	0
632	0
604	1
2535	3
134	1
1000	3
292	0
113	1
79	0
30	0
221	1
177	0
719	0
368	1
1147	3
331	0
561	0
198	0
95	0
232	0
1082	2
235	0
466	0
246	1
1553	0
114	0
1552	2
182	1
203	1
119	0
240	1
779	0
351	0
310	0
0	372
0	0
18	0
14	1
26	2
10	0
626	40
20	7
525	1
504	2
477	46
415	1
1262	2
1574	2
357	0
75	0
149	0
396	1
756	2
8633	9
327	0
415	0
681	1
829	1
225	0
399	0
244	0
69	1
406	1
757	1
503	2
138	0
1452	0
558	0
1500	2
2550	0
1080	1
115	0
2782	7
505	1
1626	480
13959	497
2	0
1425	0
1500	2
158	1
38	0
1613	0
135	1
1154	0
401	0
506	1
3121	4
1210	2
104	1
70	14
749	2
1335	2
446	1
501	0
3712	40
851	0
490	0
15	0
1348	2
6286	3
378	1
172	0
1609	0
158	0
162	1
190	0
34	0
0	0
0	6
4505	2
324	0
974	1
0	23
0	14
1789	1
901	1
1560	0
1079	0
401	1
1513	2
122	1
585	0
1349	2
240	0
942	2
1789	2
315	0
612	1
145	0
511	0
1107	1
77	0
549	0
985	0
2038	3
373	0
1150	1
217	0
2184	2
1436	0
652	0
68	0
294	0
371	0
908	3
417	0
131	0
305	0
509	1
3492	3
277	0
115	0
124	2
378	0
220	0
404	2
13922	27
5044	7
622	1
149	1
413	0
1124	2
1318	2
383	0
173	0
2187	6
680	1
63	0
3894	3
3823	35
595	2
134	0
332	1
30	0
330	0
2283	0
836	1
494	0
206	0
39	7
129	0
627	0
1199	2
1701	2
170	0
595	0
1362	0
3594	2110
602	1
91	0
326	0
440	2
156	0
928	2
1035	4
661	0
652	0
1	0
2136	5
244	0
1506	1
1056	1
1279	3
25794	32
239	2
302	0
1509	2
510	1
25	0
206	0
406	0
679	0
108	0
2281	10086
339	0
128	1
744	0
3	0
444	0
1597	1
237	0
647	0
423	0
448	0
101	0
199	1
4001	417
552	0
118	0
1365	2
11	0
1458	3
532	1
51	0
1710	4
1059	0
635	0
88	0
667	1
846	0
3460	4
215	0
2259	3
629	4
2342	4
76	0
0	1475
140	0
247	0
1417	2
161	1
527	1
608	0
2689	12
306	1
256	0
963	0
466	1
320	0
1125	2
394	1
47	0
571	3
832	0
1092	1
459	1
991	0
942	0
0	141
580	1
201	0
402	0
680	2
6825	10
576	0
639	1
536	2
758	1
149	1
492	0
337	1
297	0
415	0
217	0
685	1
9227	17
4944	8
17	0
153	1
504	0
183	1
242	0
29	0
17	0
98	0
0	37
0	2948
1367	2044
962	2
702	1
955	1
45	0
1121	0
36	0
173	0
134	0
1004	0
0	0
334	0
183	0
7202	7
94	0
340	0
25	0
334	0
894	0
1183	2
3	0
443	0
14	0
597	0
274	0
1828	2
337	2
756	1
449	0
262	0
341	0
3489	394
3037	3
256	1
322	1
308	0
596	0
439	0
27	0
4	0
0	0
0	19
0	0
1	0
2	239
39	1522
611	2
119	0
380	0
591	0
1326	2
628	2
37745	45
1845	1
1185	1
3846	7
218	0
439	0
423	0
11	0
1	0
326	1
325	0
2980	5
3216	6
2448	4
2518	5
11	0
377	0
758	0
879	0
1297	0
2781	1
837	1
175	0
1098	0
379	0
854	3
36	0
108	0
26	0
218	0
3383	5
197	0
3431	1
289	0
273	0
3726	3
51	16
113	16
760	2
296	0
448	0
37	1
2467	2
601	0
1053	16
2011	1
1237	2519
0	143
401	143
223	2
312	3
247	1
252	1
235	0
249	0
690	0
3638	1
718	0
755	3
196	0
1625	1
588	0
400	0
