UniqueCount	AmbigCount
257	5
344	1
9402	32
524	6312
398	0
102	0
129	0
99	0
180	1
2330	10
331	2
251	1
94	0
957	3
149	1
1	0
537	1
128	0
852	2
191	0
1671	2
198	1
997	5
295	1
83	0
48	0
818	2
104	0
176	0
96	0
106	1
80	0
2930	13
559	3
73	0
42155	173
155	1
605	5
460	3
1017	5
487	0
1887	8
76	1
79	2
137	2
219	1
227	0
555	2
57	0
68	0
230	0
171	0
531	0
383	0
41	0
22	0
31	23
3	0
0	0
567	0
204	1
316	0
123	0
0	2461
0	0
620	3
4198	11
189	1
76	0
9	2
25	0
95	0
183	0
32	0
30	1
14	43
38	0
841	7
79	25
1	1
1747	9
21	655
432	3
1913	11
2030	15
987	3
171	0
231	0
627	1
178	0
296	1
132	1
430	1
22	0
309	1
258	0
1516	5
1198	4
81	0
91	0
377	1
55	0
494	1
340	1
1263	6
63	0
223	3
9689	576
492	1
544	1
688	2
104	1
552	1
381	1
164	0
216	1
631	2
205	0
165	1
1603	1
396	2
613	0
1260	6
76	0
5	0
673	3
165	0
730	5
10	0
399	3
1055	2
300	0
723	0
317	2
1091	3
269	1
436	0
43	1
199	0
575	1
108	0
141	1
207	1
258	0
377	3
189	1
3705	11512
52	0
124	1
4703	24
45	0
572	2
65	1
364	0
318	3
227	1
435	1
69	0
2849	667
188	2
108	0
181	1
716	2
8463	41
458	2
75	2
73	0
531	2
1543	5
189	2
206	0
259	3
242	3
418	1
207	0
228	4
89	0
414	2
190	0
242	0
93	1
76	0
315	0
286	1
1554	205
3105	57
5529	37
24	0
228	0
874	4
178	1
850	5
12	0
6	2
0	67
574	1
79	2
654	2
141	0
5911	19
98	0
409	2
678	7
396	3
2235	14511
28	0
1678	10
607	7
689	3
122	0
453	3
721	2
14	0
366	0
250	0
403	0
197	2
102	0
147	2
63	0
4391	341
666	4
10	0
208	0
102	0
461	1
416	2
87	0
404	1
362	4
249	0
400	3
474	2
108	0
236	0
268	3
381	0
8009	20
593	2
64	0
91	0
139	0
60	1
363	1
595	2
19	0
184	0
6403	29
3422	16
657	1
315	1
1929	7
1225	6
1475	3
1379	5
826	6
420	0
357	2
92	47
64	0
16793	468
308	483
256	0
296	0
207	1
98	1
79	1
598	2
277	1
300	1
647	2
620	2
2051	9
59	0
87	0
773	3
246	0
392	2
1074	4
197	0
2156	4
50	0
1	117663
109	0
83	0
3600	12
255	2
203	0
196	1
382	2
4899	17
20	0
211	1
394	2
136	1
20	0
408	2
217	1
63	0
75	1
105	1
182	0
242	0
165	0
874	1
3723	11
468	0
422	0
84	0
66	0
414	1
170	0
773	3
46	0
177	0
1457	5
525	0
156	0
45	0
619	1
772	5
286	0
221	2
2833	14
243	0
349	0
177	1
400	2
87	1
101	0
123	0
261	0
654	3
1062	1
355	1
126	0
163	0
181	0
264	1
5	0
4216	11554
77	1
53	0
12	0
123	0
2	0
959	4
78	0
10488	150
6412	39
273	0
101	0
21	0
193	0
8060	23
59	0
509	1
527	1
478	0
69	0
925	5
300	2
100	0
577	1
294	1
571	1
133	0
138	0
245	0
39	0
112	3
221	0
251	3
62	1
1773	110
0	33
370	36
1915	7
511	3
97	1
144	2
282	0
81	0
220	0
15	0
108	0
135	0
719	0
189	0
229	1
275	1
1500	4
170	2
1774	6
64	1
302	1
170	2
44	0
399	0
260	1
1021	5
1264	6
3641	16
24	1
183	0
227	2
140	0
140	0
137	1
367	1
117	1
38	0
140	0
180	1
290	0
106	2
856	5
147	0
471	2
870	7
111	0
67	0
168	1
231	0
95	0
255	2
117	0
200	0
390	3
173	0
708	3
78	1
355	2
145	0
1680	7
56	0
23	0
3506	8
338	3
241	3
140	1
329	3
1582	6
202	0
6	0
136	0
6	0
67	10
114	0
3	15
7	12
233	994
297	2
197	5
112	0
169	1
141	1
1252	6
262	0
1229	3
247	0
138	0
557	1
2156	6
5	31257
0	3681
177	0
3122	15
349	2
570	2
282	1
2934	15
800	3
175	0
57	0
243	0
294	0
165	0
63	0
182	0
155	0
319	7
18	5
2273	9
88	0
855	3
120	1
9	0
357	2
1626	4
222	2
318	0
1273	11
395	0
143	1
494	2
13	0
1099	1
205	1
198	0
15	0
268	19
418	223
0	16
12	33
77	88
44	0
533	4
140	2
203	0
2078	7
41	0
494	2
571	0
4	0
310	0
36383	176
151	1
94	1
725	2
998	5
6	0
130	1
10962	50
47	0
27	0
236	0
120	0
855	56
426	3
131	0
246	1
292	0
6823	140
169	2
589	3
1032	6
595	2
203	3
565	2
43	21
440	1
170	1
437	2
4	0
213	1
588	2
640	3
0	0
539	1
487	1
2792	7
150	0
1304	3
292	0
87	0
24	0
36	0
173	2
107	1
417	0
117	0
518	3
125	1
609	3
173	0
67	0
78	0
892	2
154	0
115	2
44	0
1398	10
78	0
649	2
277	2
193	2
98	1
163	0
771	6
226	1
295	0
0	222
0	0
27	0
24	3
44	4
17	0
4037	231
39	12
4666	15
359	1
1773	128
124	1
956	1
927	3
379	3
122	0
95	0
306	1
710	2
9280	29
67	0
70	0
648	6
636	5
207	0
216	1
202	2
57	0
209	2
746	0
405	3
186	2
240	1
274	2
2381	9
2473	13
1243	6
58	0
1326	3
502	5
545	126
3930	138
1	0
998	5
1052	5
168	0
18	0
3219	12
38	0
847	5
341	1
331	0
1903	6
1672	15
103	0
11	10
295	0
1289	6
139	0
370	0
4748	74
914	9
277	2
17	0
688	2
739	5
246	1
112	0
1050	1
97	0
316	0
214	0
34	0
4	1
0	40
4290	24
254	1
664	3
0	32
0	15
614	2
1098	4
683	2
291	6
292	3
1811	11
115	1
430	0
1475	9
136	0
7816	26
594	3
202	0
550	3
90	0
302	3
443	0
72	0
261	0
380	0
912	3
241	0
582	0
141	0
2106	9
365	1
280	0
99	0
277	0
174	0
603	1
259	3
49	0
74	0
93	1
3405	19
17	0
90	0
34	0
205	0
155	1
85	0
5640	20
1682	9
718	1
76	0
240	0
416	0
1355	7
153	1
111	1
1267	7
138	0
36	0
2511	10
3596	70
473	1
37	1
276	0
21	0
502	4
139	1
598	3
383	2
151	2
30	8
65	1
428	2
544	3
1190	3
135	1
588	1
832	1
4228	2784
470	2
82	0
188	0
326	2
71	2
505	3
4140	25
827	2
487	2
8	0
1891	13
130	0
831	5
789	2
821	1
10777	35
114	2
230	1
499	3
131	0
26	0
64	0
424	2
467	3
68	0
2768	11509
248	0
35	0
617	0
8	0
237	0
2365	14
165	1
488	2
347	0
445	1
135	0
105	1
5247	672
390	1
38	0
997	9
2	0
1226	4
368	1
35	0
1071	7
1087	2
629	4
97	0
659	1
223	1
6042	15
201	1
1623	7
370	1
1083	4
98	0
0	1991
80	0
211	1
308	1
46	0
176	1
138	0
2947	16
175	3
130	0
1037	2
274	0
139	0
831	3
95	1
25	1
329	0
946	5
1267	3
310	1
432	1
713	5
0	214
387	1
81	0
96	1
635	3
7422	21
349	1
423	0
344	0
340	1
47	0
423	1
359	3
173	1
193	1
89	1
460	1
4220	12
2171	5
13	0
218	1
116	0
129	0
49	0
3	0
44	0
23	0
1	50
0	2920
1485	2784
365	1
607	3
458	2
29	0
992	5
16	0
113	0
52	0
1478	7
4	0
187	0
116	0
11143	40
41	0
243	1
18	0
136	0
438	0
102	0
8	0
318	0
3	0
342	3
153	0
1032	5
381	0
541	2
129	2
128	1
358	2
4724	636
2087	11
191	0
157	0
142	1
673	5
266	2
20	0
12	0
0	0
0	20
0	0
0	1
2	297
53	1538
140	1
62	0
553	5
277	1
1370	2
276	3
12182	43
157	1
706	4
5450	36
60	0
238	2
413	1
2	0
25	0
76	0
150	2
544	5
2763	13
2485	10
3260	27
31	0
226	1
362	0
986	5
1111	5
1220	8
348	0
142	0
298	0
424	0
1241	2
6	0
62	0
44	0
235	2
1340	7
117	0
1535	6
288	1
149	3
1984	9
36	12
72	12
567	1
677	3
230	0
115	0
2572	11
277	2
221	7
3155	5
5464	11297
0	94
285	94
154	0
247	2
134	1
171	0
113	0
272	2
411	2
4028	14
957	4
767	12
44	0
2093	4
567	2
411	2
817	5
1052	7
709	2
479	0
91	0
157	0
1001	5
235	1
338	0
62	1
451	2
414	1
191	1
1089	6
384	1
201	0
67	2
615	3
2371	12
176	0
245	0
511	12
2946	11
11	0
184	0
713	4
428	1
105	0
72	0
329	2
343	1
281	0
25	0
146	0
687	3
788	7
72	0
161	1
242	0
655	2
283	0
234	2
268	1
49	0
317	1
109	0
299	1
188	3
373	1
146	1
277	2
17	0
3	0
129	0
660	4
65	0
350	2
564	4
469	5
139	1
672	1
5	0
5072	14
43	0
9	0
7	0
4924	1344
518	3
426	2
56	0
225	0
748	1
182	1
349	1
380	0
175	2
181	0
244	2
9	0
286	1
312	3
65	0
6	0
380	1
68	0
2	0
318	0
2695	6
468	4
101	0
408	6
112	0
129	1
82	0
495	4
1312	4
49	1
102	0
64665	4777
257	0
106	0
39	0
88	3
11396	31
205	1
147	0
3746	16
51	0
1	0
276	1
229	2
319	0
20	0
1264	4
46	0
200	0
3546	21
73	0
202	0
1329	5
665	2
86	0
264	2
396	1
706	2
33	0
8153	5307
381	4
811	3
573	5
319	2
2975	11
32	0
32	0
136	20
105	4
1	731
52	625
18569	511
0	803
0	1585
140	0
240	0
180	2
132	1
262	1
57	0
71	0
208	1
1221	3
139	1
3254	6
414	0
281	2
14	0
195	1
104	0
10155	3139
413	2
193	0
583	0
823	5
206	1
68	0
248	1
194	4
16	0
576	2
249	1
581	1
402	5
721	5
198	1
12	0
569	1
417	1
107	0
624	0
75	0
1414	5
305	1
265	2
551	1
1124	1
420	3
66	0
107	2
456	1
3461	41
7965	35
57	0
444	1
4	0
24	44
131	1
331	2
251	1
258	0
116	0
332	1
157	0
286	4
2099	2774
229	0
92	0
6	0
12	0
1491	10
1192	4
528	5
122	0
4025	18
480	2
644	2
93	1
536	1
102	0
342	2
43	0
395	0
776	2
141	0
181	0
8542	28
210	1
280	2
39	1
79	0
15	0
9	0
2	0
215	0
261	0
245	1
239	1
169	0
467	1
1207	5
364	2
100	0
391	2
24	0
365	2
596	2
1480	7
149	0
605	3
294	0
71	1
61	0
124	0
1226	5
202	0
537	3
920	2
555	2
321	2
274	0
529	0
172	0
49	0
4799	45
56	0
410	2
109	0
498	3
349	0
163	1
230	0
1518	7
446	1
249	1
467	2
226	0
290	1
6111	54
698	3
73	0
379	1
53	0
154	0
221	0
28	0
132	0
145	1
201	1
127	0
7	0
178	0
169	0
41	0
29	0
108	2
2549	104
10	21
0	326
5	12
0	1437
355	2
207	0
280	1
372	1
44	0
804	6
194	0
225	0
54	1
228	0
450	2
1004	7
0	0
29	0
118	2
181	0
102	0
119	1
4432	8
178	0
327	0
389	0
77	0
83	0
443	2
82	0
12	0
68	1
33	0
145	1
11	2
1084	5
1334	3
122	0
111	2
399	1
90	1
5	0
0	0
0	0
619	3
315	1
118	0
593	3
227	1
3804	2787
268	0
844	1
2054	12
524	5
79	0
234	0
475	2
689	1
250	2
419	0
116	1
172	1
335	2
560	4
632	1
203	2
101	0
698	10
326	0
17	0
510	4
508	1
3536	13
811	3
164	1
163	0
665	2
0	0
207	0
504	2
277	0
188	1
162	0
2506	20
157	2
470	3
227	0
170	0
127	0
70	1
178	1
226	1
1618	5
5	0
6690	26
585	2
250	1
223	1
69711	300
75	1
313	1
309	0
660	2
324	1
273	2
958	2
91	0
5	0
18	0
204	1
310	0
294	2
279	1
644	3
346	0
250	2
1952	11
7487	40
1075	6
72	0
759	7
2	0
171	0
308	5
107	0
88	0
45	1
146	0
5	0
347	1
141	1
1254	4
115	0
471	4
442	1
293	0
215	0
1188	2
286	0
332	0
5	0
115	0
916	4
798	4
721	3
265	0
131	0
330	0
743	3
176	0
978	2
120	1
444	2
97	1
512	3
664	2
401	6
281	0
165	0
205	0
58	0
37	0
115	0
513	4
84	0
137	0
276	1
382	1
311	0
274	2
754	2
258	2
1005	6
275	3
335	0
168	1
263	2
98	0
43289	161
301	0
229	0
2363	7
657	2
46	0
335	1
95	0
33	0
23	41
2689	47
491	2
392	2
137	0
134	1
207	1
99	0
2034	7
303	0
238	1
2518	10
703	6
2077	14
386	0
6426	37
2315	14
3292	19
195	0
386	2
688	2
341	0
85	0
46	0
176	1
397	0
579	1
420	3
203	1
140	0
466	1
439	2
113	3
280	4
983	1
205	2
447	1
594	2
202	0
490	0
62	0
53	1
1206	3
637	5
1789	6
355	0
182	0
155	1
932	6
47	0
59	0
324	2
42	1
11	0
130	0
0	0
1044	5
282	0
157	0
73	0
31	0
291	3
219	0
418	2
76	0
244	0
85	0
522	3
441	0
50	0
438	4
104	0
396	2
119	0
92	1
326	2
150	0
193	0
569	1
257	3
566	0
269	1
770	4
186	3
139	0
161	1
19	0
227	2
95	0
536	0
466	2
15	0
12021	26
1032	1
103	0
60	0
346	2
1344	4
48	1
95	0
155	0
93	0
81	0
173	0
96	0
673	3
2300	13
137	0
865	12927
302	0
160	1
187	1
321	1
271	1
254	0
430	1
149	1
296	1
275	2
140	1
1016	2
476	1
289	1
335	1
83	1
109	0
119	0
719	2
2228	10
1151	6
621	2
64	0
380	2
139	1
255	1
109	1
238	0
277	3
233	0
107	0
1446	5
228	0
4890	68
434	0
306	3
47	0
49	0
442	2
317	1
124	1
410	4
93	1
33	2
10	33
1	88
0	1
2	6
1	0
0	761
0	54
0	125
144	623
0	3
0	428
307	1029
97	14216
0	0
0	0
0	0
0	0
101	1
700	1
339	2
468	4
505	0
117	0
2475	7
102	0
169	1
204	2
2	0
7533	26
1261	1
1561	6
491	2
254	2
169	0
214	0
750	4
25	0
101	0
319	1
71	0
38	0
214	1
387	2
321	0
1700	7
168	0
49	2
829	3
186	0
287	1
77	0
427	3
10	1
2	0
382	1
403	10
182	0
492	0
623	2
680	2
70	1
584	2
279	0
821	2
726	3
102	0
654	3
337	1
544	1
80	0
45	0
1217	6
643	3
165	1
6	0
366	1
249	2
124	1
531	1
15	0
368	1
182	2
99	0
107	0
28	0
226	0
8	0
33	0
464	2
108	0
1113	2
295	1
67	0
371	1
351	2
2	0
36	0
1262	4
278	1
211	1
718	3
195	1
48	0
90	0
770	4
63	0
69	0
657	6
213	3
33	0
639	4
866	0
561	2
402	0
252	2
9	0
3	0
2	0
2066	6
0	0
1343	2
94	0
534	5
6321	3111
496	0
250	0
806	5
112	0
106	0
3625	44
0	1
0	0
40	15
2	731
0	17
1	137
0	3073
111	23710
0	888
0	146
16	1100
0	0
1	120
6982	573
248	48
219	1
179	0
373	1
203	2
330	1
336	1
129	0
1008	2
93	0
153	1
93	1
218	0
5118	14
1029	3
89	0
57	0
353	1
698	2
255	0
829	4
36	0
340	1
162	1
291	1
830	4
225	0
1339	6
83	0
418	1
287	0
875	2
1493	3
892	6
219	2
217	0
146	0
138	1
434	0
685	0
213	1
70	0
1362	6
641	4
392	0
145	1
5266	21
325	2
34	0
354	4
42	1
1186	3
2633	15
802	3
241	2
272	0
515	2
243	2
65	0
1372	3
285	0
351	1
706	2
5887	25
151	0
150	0
448	2
17	0
845	5
4916	25
4298	136
6033	21
2430	13
4	0
343	2
62	0
415	3
146	0
168	1
199	0
399	2
332	3
1128	3
845	4
64	0
477	2
752	3
141	0
181	0
326	0
68	1
62	0
195	1
91	0
146	0
86	0
106	0
483	4
609	1
95	0
